LLM,Total Codes,Correctness Rate (%),Avg Issues Per Code,Total Issues,Severity: Blocker,Severity: Critical,Severity: Major,Severity: Minor,Severity: Info,Type: Bug,Type: Vulnerability,Type: Code Smell,Type: Security Hotspot,Attribute: Consistency,Attribute: Intentionality,Attribute: Adaptability,Attribute: Responsibility,SQ Security: Blocker,SQ Security: High,SQ Security: Medium,SQ Security: Low,SQ Security: Info,SQ Reliability: Blocker,SQ Reliability: High,SQ Reliability: Medium,SQ Reliability: Low,SQ Reliability: Info,SQ Maintainability: Blocker,SQ Maintainability: High,SQ Maintainability: Medium,SQ Maintainability: Low,SQ Maintainability: Info
Gemini-2.5-Pro-03-25 (medium),379,90.5,1.77,671,0,98,23,550,0,5,0,666,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,97,19,548,0
Gemini-2.5-Pro-03-25 (hard),343,58.31,3.94,1353,0,207,80,1066,0,2,0,1351,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,206,79,1062,0
Gemini-2.5-Pro-05-06,1054,82.83,2.74,2885,0,406,124,2355,0,72,0,2813,0,0,0,0,0,0,0,0,0,0,0,66,6,1,0,0,340,118,2354,0
Gemini-2.5-Pro-05-06 (easy),322,98.76,0.93,300,0,67,6,227,0,56,0,244,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,11,6,227,0
Gemini-2.5-Pro-05-06 (medium),383,90.6,2.29,876,0,117,34,725,0,7,0,869,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,112,32,724,0
Gemini-2.5-Pro-05-06 (hard),349,59.6,4.9,1709,0,222,84,1403,0,9,0,1700,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,217,80,1403,0
Gemini-2.5-Pro-06-05,1055,84.27,1.62,1705,0,323,184,1198,0,21,0,1684,0,0,0,0,0,0,0,0,0,0,0,18,3,8,0,0,305,181,1190,0
Gemini-2.5-Pro-06-05 (easy),322,99.07,0.68,220,0,22,4,194,0,16,0,204,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,7,3,193,0
Gemini-2.5-Pro-06-05 (medium),383,92.17,1.44,551,0,93,45,413,0,3,0,548,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,91,44,413,0
Gemini-2.5-Pro-06-05 (hard),350,62,2.67,934,0,208,135,591,0,2,0,932,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,207,134,584,0
Gemini-Exp-1206,795,55.09,1.13,897,1,324,57,515,0,152,0,745,0,0,0,0,0,0,0,0,0,0,1,151,0,0,0,0,173,57,515,0
Gemini-Exp-1206 (easy),276,92.03,0.83,228,0,71,9,148,0,58,0,170,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,13,9,148,0
Gemini-Exp-1206 (medium),302,48.68,1.3,393,0,117,29,247,0,39,0,354,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,78,29,247,0
Gemini-Exp-1206 (hard),217,17.05,1.27,276,1,136,19,120,0,55,0,221,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,82,19,120,0
Gemini-Flash-1.5-002,848,37.5,1.09,923,1,304,66,552,0,158,0,765,0,0,0,0,0,0,0,0,0,0,1,146,11,1,0,0,158,55,551,0
Gemini-Flash-1.5-002 (easy),279,82.8,0.77,215,0,59,9,147,0,51,0,164,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,11,6,147,0
Gemini-Flash-1.5-002 (medium),320,23.44,1.28,409,1,112,34,262,0,52,0,357,0,0,0,0,0,0,0,0,0,0,1,46,5,0,0,0,66,29,262,0
Gemini-Flash-1.5-002 (hard),249,4.82,1.2,299,0,133,23,143,0,55,0,244,0,0,0,0,0,0,0,0,0,0,0,52,3,1,0,0,81,20,142,0
Gemini-Flash-2.0-Exp,1005,43.88,1.37,1381,0,500,171,710,0,248,0,1133,0,0,0,0,0,0,0,0,0,0,0,221,27,2,0,0,279,144,708,0
Gemini-Flash-2.0-Exp (easy),321,91.28,0.83,266,0,100,12,154,0,87,0,179,0,0,0,0,0,0,0,0,0,0,0,83,4,0,0,0,17,8,154,0
Gemini-Flash-2.0-Exp (medium),361,33.52,1.48,534,0,162,44,328,0,60,0,474,0,0,0,0,0,0,0,0,0,0,0,55,5,1,0,0,107,39,327,0
Gemini-Flash-2.0-Exp (hard),323,8.36,1.8,581,0,238,115,228,0,101,0,480,0,0,0,0,0,0,0,0,0,0,0,83,18,1,0,0,155,97,227,0
Gemini-Flash-2.0-Exp (N=10),777,47.23,1.16,899,0,343,45,511,0,160,0,739,0,0,0,0,0,0,0,0,0,0,0,156,4,0,0,0,187,41,511,0
Gemini-Flash-2.0-Exp (N=10) (easy),273,91.21,0.86,234,0,69,17,148,0,62,0,172,0,0,0,0,0,0,0,0,0,0,0,59,3,0,0,0,10,14,148,0
Gemini-Flash-2.0-Exp (N=10) (medium),286,33.57,1.3,372,0,117,10,245,0,32,0,340,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,85,10,245,0
Gemini-Flash-2.0-Exp (N=10) (hard),218,10.09,1.34,293,0,157,18,118,0,66,0,227,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,92,17,118,0
Gemini-Flash-2.0-Thinking,848,52,1.38,1174,0,376,115,683,0,150,0,1024,0,0,0,0,0,0,0,0,0,0,0,146,4,6,0,0,230,111,677,0
Gemini-Flash-2.0-Thinking (easy),279,94.98,0.81,226,0,65,7,154,0,50,0,176,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,15,7,154,0
Gemini-Flash-2.0-Thinking (medium),325,44,1.58,512,0,138,44,330,0,42,0,470,0,0,0,0,0,0,0,0,0,0,0,38,4,2,0,0,100,40,328,0
Gemini-Flash-2.0-Thinking (hard),244,13.52,1.79,436,0,173,64,199,0,58,0,378,0,0,0,0,0,0,0,0,0,0,0,58,0,4,0,0,115,64,195,0
