LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
O4-Mini (Low) (medium),383,86.16,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (Low) (hard),321,53.27,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (Medium),1038,85.84,1,0.1,2,0,0,0,2,0,2,0,0
O4-Mini (Medium) (easy),322,98.76,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (Medium) (medium),381,92.65,0,0,0,0,0,0,0,0,0,0,0
O4-Mini (Medium) (hard),335,65.67,1,0.3,2,0.01,0,0,2,0,2,0,0
OpenCodeReasoning-Nemotron-1.1-32B,1034,79.11,2,0.19,4,0,0,0,4,0,2,2,0
OpenCodeReasoning-Nemotron-1.1-32B (easy),319,99.06,0,0,0,0,0,0,0,0,0,0,0
OpenCodeReasoning-Nemotron-1.1-32B (medium),376,84.31,1,0.27,3,0.01,0,0,3,0,1,2,0
OpenCodeReasoning-Nemotron-1.1-32B (hard),339,54.57,1,0.29,1,0,0,0,1,0,1,0,0
OpenReasoning-Nemotron-32B,1046,81.55,2,0.19,3,0,0,0,3,0,1,2,0
OpenReasoning-Nemotron-32B (easy),321,98.75,0,0,0,0,0,0,0,0,0,0,0
OpenReasoning-Nemotron-32B (medium),379,87.6,1,0.26,2,0.01,0,0,2,0,0,2,0
OpenReasoning-Nemotron-32B (hard),346,58.96,1,0.29,1,0,0,0,1,0,1,0,0
QwQ-32B-Preview,813,64.82,3,0.37,3,0,0,1,2,0,3,0,0
QwQ-32B-Preview (easy),276,95.65,1,0.36,1,0,0,0,1,0,1,0,0
QwQ-32B-Preview (medium),319,67.71,0,0,0,0,0,0,0,0,0,0,0
QwQ-32B-Preview (hard),218,21.56,2,0.92,2,0.01,0,1,1,0,2,0,0
QwQ-32B_temp,964,80.39,4,0.41,5,0.01,0,0,5,0,5,0,0
QwQ-32B_temp (easy),321,99.38,0,0,0,0,0,0,0,0,0,0,0
QwQ-32B_temp (medium),368,86.96,0,0,0,0,0,0,0,0,0,0,0
QwQ-32B_temp (hard),275,49.45,4,1.45,5,0.02,0,0,5,0,5,0,0
QwQ-Max-Preview,875,80.46,2,0.23,2,0,0,0,2,0,2,0,0
QwQ-Max-Preview (easy),279,98.57,0,0,0,0,0,0,0,0,0,0,0
QwQ-Max-Preview (medium),330,88.48,0,0,0,0,0,0,0,0,0,0,0
QwQ-Max-Preview (hard),266,51.5,2,0.75,2,0.01,0,0,2,0,2,0,0
